id,registered_date
CUST_00498,2024-07-27
CUST_00499,2024-07-25
CUST_00500,2024-07-13
CUST_00501,2024-07-25
CUST_00502,2024-07-09
CUST_00503,2024-07-22
CUST_00504,2024-07-06
CUST_00505,2024-07-13
CUST_00506,2024-07-25
CUST_00507,2024-07-15
CUST_00508,2024-07-17
CUST_00509,2024-07-26
CUST_00510,2024-07-03
CUST_00511,2024-07-06
CUST_00512,2024-07-17
CUST_00513,2024-07-23
CUST_00514,2024-07-27
CUST_00515,2024-07-08
CUST_00516,2024-07-11
CUST_00517,2024-07-05
CUST_00518,2024-07-19
CUST_00519,2024-07-09
CUST_00520,2024-07-08
CUST_00521,2024-07-05
CUST_00522,2024-07-20
CUST_00523,2024-07-21
CUST_00524,2024-07-01
CUST_00525,2024-07-19
CUST_00526,2024-08-16
CUST_00527,2024-08-13
CUST_00528,2024-08-05
CUST_00529,2024-08-11
CUST_00530,2024-08-26
CUST_00531,2024-08-16
CUST_00532,2024-08-03
CUST_00533,2024-08-10
CUST_00534,2024-08-22
CUST_00535,2024-08-01
CUST_00536,2024-08-04
CUST_00537,2024-08-21
CUST_00538,2024-08-03
CUST_00539,2024-08-23
CUST_00540,2024-08-15
CUST_00541,2024-08-07
CUST_00542,2024-08-01
CUST_00543,2024-08-18
CUST_00544,2024-08-28
CUST_00545,2024-08-07
CUST_00546,2024-08-03
CUST_00547,2024-08-03
CUST_00548,2024-08-07
CUST_00549,2024-08-15
CUST_00550,2024-08-03
CUST_00551,2024-08-24
CUST_00552,2024-08-06
CUST_00553,2024-08-28
CUST_00554,2024-08-06
CUST_00555,2024-08-08
CUST_00556,2024-08-24
CUST_00557,2024-08-20
CUST_00558,2024-08-05
CUST_00559,2024-08-19
CUST_00560,2024-08-10
CUST_00561,2024-08-05
CUST_00562,2024-08-27
CUST_00563,2024-08-27
CUST_00564,2024-08-06
CUST_00565,2024-08-12
CUST_00566,2024-08-27
CUST_00567,2024-08-24
CUST_00568,2024-08-16
CUST_00569,2024-08-23
CUST_00570,2024-08-16
CUST_00571,2024-08-11
CUST_00572,2024-08-18
CUST_00573,2024-08-16
CUST_00574,2024-08-23
CUST_00575,2024-08-27
CUST_00576,2024-08-15
CUST_00577,2024-08-08
CUST_00578,2024-08-22
CUST_00579,2024-08-13
CUST_00580,2024-08-03
CUST_00581,2024-08-06
CUST_00582,2024-08-01
CUST_00583,2024-08-08
CUST_00584,2024-08-28
CUST_00585,2024-08-11
CUST_00586,2024-08-22
CUST_00587,2024-08-19
CUST_00588,2024-08-14
CUST_00589,2024-08-17
CUST_00590,2024-08-03
CUST_00591,2024-08-10
CUST_00592,2024-08-14
CUST_00593,2024-08-02
CUST_00594,2024-08-01
CUST_00595,2024-08-26
CUST_00596,2024-08-23
CUST_00597,2024-08-22
CUST_00598,2024-08-14
CUST_00599,2024-08-02
CUST_00600,2024-08-25
CUST_00601,2024-08-05
CUST_00602,2024-08-28
CUST_00603,2024-08-11
CUST_00604,2024-08-06
CUST_00605,2024-08-09
CUST_00606,2024-08-16
CUST_00607,2024-08-13
CUST_00608,2024-08-13
CUST_00609,2024-08-11
CUST_00610,2024-08-17
CUST_00611,2024-08-07
CUST_00612,2024-08-14
CUST_00613,2024-08-12
CUST_00614,2024-08-08
CUST_00615,2024-08-10
CUST_00616,2024-08-04
CUST_00617,2024-08-07
CUST_00618,2024-08-06
CUST_00619,2024-08-19
CUST_00620,2024-08-05
CUST_00621,2024-08-05
CUST_00622,2024-08-02
CUST_00623,2024-08-15
CUST_00624,2024-08-27
CUST_00625,2024-08-06
CUST_00626,2024-08-12
CUST_00627,2024-08-04
CUST_00628,2024-08-28
CUST_00629,2024-08-23
CUST_00630,2024-08-14
CUST_00631,2024-08-28
CUST_00632,2024-08-23
CUST_00633,2024-08-03
CUST_00634,2024-08-11
CUST_00635,2024-08-23
CUST_00636,2024-08-14
CUST_00637,2024-08-17
CUST_00638,2024-08-06
CUST_00639,2024-08-14
CUST_00640,2024-08-20
CUST_00641,2024-08-01
CUST_00642,2024-08-17
CUST_00643,2024-08-12
CUST_00644,2024-08-16
CUST_00645,2024-08-25
CUST_00646,2024-08-12
CUST_00647,2024-08-17
CUST_00648,2024-08-15
CUST_00649,2024-08-01
CUST_00650,2024-08-25
CUST_00651,2024-08-19
CUST_00652,2024-08-07
CUST_00653,2024-08-17
CUST_00654,2024-08-02
CUST_00655,2024-08-17
CUST_00656,2024-08-21
CUST_00657,2024-08-14
CUST_00658,2024-08-05
CUST_00659,2024-08-17
CUST_00660,2024-08-15
CUST_00661,2024-08-08
CUST_00662,2024-08-10
CUST_00663,2024-08-17
CUST_00664,2024-08-17
CUST_00665,2024-08-18
CUST_00666,2024-08-25
CUST_00667,2024-08-13
CUST_00668,2024-08-20
CUST_00669,2024-08-27
CUST_00670,2024-08-23
CUST_00671,2024-08-28
CUST_00672,2024-08-07
CUST_00673,2024-08-11
CUST_00674,2024-08-21
CUST_00675,2024-08-05
CUST_00676,2024-08-08
CUST_00677,2024-08-16
CUST_00678,2024-08-11
CUST_00679,2024-08-04
CUST_00680,2024-08-01
CUST_00681,2024-08-02
CUST_00682,2024-08-23
CUST_00683,2024-08-19
CUST_00684,2024-08-28
CUST_00685,2024-08-12
CUST_00686,2024-08-07
CUST_00687,2024-08-02
CUST_00688,2024-08-10
CUST_00689,2024-08-10
CUST_00690,2024-08-03
CUST_00691,2024-08-12
CUST_00692,2024-08-19
CUST_00693,2024-08-10
CUST_00694,2024-08-21
CUST_00695,2024-08-23
CUST_00696,2024-08-28
CUST_00697,2024-08-14
CUST_00698,2024-08-21
CUST_00699,2024-08-16
CUST_00700,2024-08-02
CUST_00701,2024-08-10
CUST_00702,2024-08-20
CUST_00703,2024-08-27
CUST_00704,2024-08-24
CUST_00705,2024-08-28
CUST_00706,2024-08-10
CUST_00707,2024-08-20
CUST_00708,2024-08-22
CUST_00709,2024-08-14
CUST_00710,2024-08-12
CUST_00711,2024-08-10
CUST_00712,2024-08-15
CUST_00713,2024-08-14
CUST_00714,2024-08-20
CUST_00715,2024-08-15
CUST_00716,2024-08-14
CUST_00717,2024-08-15
CUST_00718,2024-08-26
CUST_00719,2024-08-18
CUST_00720,2024-08-06
CUST_00721,2024-08-15
CUST_00722,2024-08-14
CUST_00723,2024-08-25
CUST_00724,2024-08-22
CUST_00725,2024-08-02
CUST_00726,2024-08-04
CUST_00727,2024-08-28
CUST_00728,2024-08-11
CUST_00729,2024-08-20
CUST_00730,2024-08-28
CUST_00731,2024-08-14
CUST_00732,2024-08-28
CUST_00733,2024-08-25
CUST_00734,2024-08-24
CUST_00735,2024-08-24
CUST_00736,2024-08-26
CUST_00737,2024-08-20
CUST_00738,2024-08-22
CUST_00739,2024-08-25
CUST_00740,2024-08-15
CUST_00741,2024-08-14
CUST_00742,2024-08-02
CUST_00743,2024-08-20
CUST_00744,2024-08-03
CUST_00745,2024-08-09
CUST_00746,2024-08-09
CUST_00747,2024-08-09
CUST_00748,2024-08-13
CUST_00749,2024-08-06
CUST_00750,2024-08-15
CUST_00751,2024-08-16
CUST_00752,2024-08-22
CUST_00753,2024-08-24
CUST_00754,2024-08-23
CUST_00755,2024-08-23
CUST_00756,2024-08-10
CUST_00757,2024-08-15
CUST_00758,2024-08-04
CUST_00759,2024-08-14
CUST_00760,2024-08-20
CUST_00761,2024-08-23
CUST_00762,2024-08-18
CUST_00763,2024-08-09
CUST_00764,2024-08-17
CUST_00765,2024-08-10
CUST_00766,2024-08-02
CUST_00767,2024-08-26
CUST_00768,2024-08-25
CUST_00769,2024-08-11
CUST_00770,2024-08-07
CUST_00771,2024-08-06
CUST_00772,2024-08-22
CUST_00773,2024-08-17
CUST_00774,2024-08-19
CUST_00775,2024-08-14
CUST_00776,2024-08-18
CUST_00777,2024-08-13
CUST_00778,2024-08-22
CUST_00779,2024-08-21
CUST_00780,2024-08-16
CUST_00781,2024-08-20
CUST_00782,2024-08-23
CUST_00783,2024-08-02
CUST_00784,2024-08-15
CUST_00785,2024-08-03
CUST_00786,2024-08-16
CUST_00787,2024-08-05
CUST_00788,2024-08-11
CUST_00789,2024-08-05
CUST_00790,2024-08-13
CUST_00791,2024-08-24
CUST_00792,2024-08-26
CUST_00793,2024-08-26
CUST_00794,2024-08-25
CUST_00795,2024-08-04
CUST_00796,2024-08-23
CUST_00797,2024-08-19
CUST_00798,2024-08-13
CUST_00799,2024-08-18
CUST_00800,2024-08-26
CUST_00801,2024-08-12
CUST_00802,2024-08-22
CUST_00803,2024-08-10
CUST_00804,2024-08-17
CUST_00805,2024-08-20
CUST_00806,2024-08-08
CUST_00807,2024-08-07
CUST_00808,2024-08-05
CUST_00809,2024-08-07
CUST_00810,2024-08-18
CUST_00811,2024-08-17
CUST_00812,2024-08-24
CUST_00813,2024-08-28
CUST_00814,2024-08-04
CUST_00815,2024-08-26
CUST_00816,2024-08-09
CUST_00817,2024-08-02
CUST_00818,2024-08-09
CUST_00819,2024-08-22
CUST_00820,2024-08-15
CUST_00821,2024-08-22
CUST_00822,2024-08-08
CUST_00823,2024-08-11
CUST_00824,2024-08-24
CUST_00825,2024-08-03
CUST_00826,2024-08-08
CUST_00827,2024-08-27
CUST_00828,2024-08-05
CUST_00829,2024-08-25
CUST_00830,2024-08-12
CUST_00831,2024-08-07
CUST_00832,2024-08-09
CUST_00833,2024-08-05
CUST_00834,2024-08-25
CUST_00835,2024-08-22
CUST_00836,2024-08-16
CUST_00837,2024-08-07
CUST_00838,2024-08-22
CUST_00839,2024-08-03
CUST_00840,2024-08-02
CUST_00841,2024-08-06
CUST_00842,2024-08-21
CUST_00843,2024-08-28
CUST_00844,2024-08-21
CUST_00845,2024-08-15
CUST_00846,2024-08-16
CUST_00847,2024-08-22
CUST_00848,2024-08-19
CUST_00849,2024-08-07
CUST_00850,2024-08-03
CUST_00851,2024-08-06
CUST_00852,2024-08-04
CUST_00853,2024-08-27
CUST_00854,2024-08-25
CUST_00855,2024-08-14
CUST_00856,2024-08-21
CUST_00857,2024-08-03
CUST_00858,2024-08-27
CUST_00859,2024-08-27
CUST_00860,2024-08-25
CUST_00861,2024-08-08
CUST_00862,2024-08-03
CUST_00863,2024-08-15
CUST_00864,2024-08-11
CUST_00865,2024-08-02
CUST_00866,2024-08-26
CUST_00867,2024-08-08
CUST_00868,2024-08-05
CUST_00869,2024-08-27
CUST_00870,2024-08-02
CUST_00871,2024-08-01
CUST_00872,2024-08-13
CUST_00873,2024-08-09
CUST_00874,2024-08-23
CUST_00875,2024-08-09
CUST_00876,2024-08-28
CUST_00877,2024-08-24
CUST_00878,2024-08-28
CUST_00879,2024-08-28
CUST_00880,2024-08-19
CUST_00881,2024-08-05
CUST_00882,2024-08-18
CUST_00883,2024-08-08
CUST_00884,2024-08-03
CUST_00885,2024-08-14
CUST_00886,2024-08-01
CUST_00887,2024-08-22
CUST_00888,2024-08-11
CUST_00889,2024-08-24
CUST_00890,2024-08-11
CUST_00891,2024-08-12
CUST_00892,2024-08-21
CUST_00893,2024-08-22
CUST_00894,2024-08-17
CUST_00895,2024-08-09
CUST_00896,2024-08-05
CUST_00897,2024-08-01
CUST_00898,2024-08-12
CUST_00899,2024-08-01
CUST_00900,2024-08-08
CUST_00901,2024-08-13
CUST_00902,2024-08-05
CUST_00903,2024-08-21
CUST_00904,2024-08-25
CUST_00905,2024-08-18
CUST_00906,2024-08-16
CUST_00907,2024-09-21
CUST_00908,2024-09-28
CUST_00909,2024-09-08
CUST_00910,2024-09-26
CUST_00911,2024-09-28
CUST_00912,2024-09-19
CUST_00913,2024-09-24
CUST_00914,2024-09-04
CUST_00915,2024-09-28
CUST_00916,2024-09-10
CUST_00917,2024-09-23
CUST_00918,2024-09-14
CUST_00919,2024-09-07
CUST_00920,2024-09-14
CUST_00921,2024-09-24
CUST_00922,2024-09-11
CUST_00923,2024-09-14
CUST_00924,2024-09-01
CUST_00925,2024-09-01
CUST_00926,2024-09-10
CUST_00927,2024-09-28
CUST_00928,2024-09-10
CUST_00929,2024-09-19
CUST_00930,2024-09-21
CUST_00931,2024-09-16
CUST_00932,2024-09-28
CUST_00933,2024-09-06
CUST_00934,2024-09-14
CUST_00935,2024-09-21
CUST_00936,2024-09-15
CUST_00937,2024-09-28
CUST_00938,2024-09-18
CUST_00939,2024-09-26
CUST_00940,2024-09-01
CUST_00941,2024-09-07
CUST_00942,2024-09-18
CUST_00943,2024-09-26
CUST_00944,2024-09-03
CUST_00945,2024-09-16
CUST_00946,2024-09-22
CUST_00947,2024-09-12
CUST_00948,2024-09-05
CUST_00949,2024-09-11
CUST_00950,2024-09-16
CUST_00951,2024-09-12
CUST_00952,2024-09-09
CUST_00953,2024-09-23
CUST_00954,2024-09-24
CUST_00955,2024-09-23
CUST_00956,2024-09-22
CUST_00957,2024-09-21
CUST_00958,2024-09-14
CUST_00959,2024-09-03
CUST_00960,2024-09-14
CUST_00961,2024-09-25
CUST_00962,2024-09-17
CUST_00963,2024-09-21
CUST_00964,2024-09-21
CUST_00965,2024-09-05
CUST_00966,2024-09-17
CUST_00967,2024-09-20
CUST_00968,2024-09-10
CUST_00969,2024-09-21
CUST_00970,2024-09-08
CUST_00971,2024-09-23
CUST_00972,2024-09-20
CUST_00973,2024-09-19
CUST_00974,2024-09-21
CUST_00975,2024-09-18
CUST_00976,2024-09-20
CUST_00977,2024-09-10
CUST_00978,2024-09-09
CUST_00979,2024-09-21
CUST_00980,2024-09-15
CUST_00981,2024-09-21
CUST_00982,2024-09-01
CUST_00983,2024-09-17
CUST_00984,2024-09-22
CUST_00985,2024-09-09
CUST_00986,2024-09-20
CUST_00987,2024-09-12
CUST_00988,2024-09-25
CUST_00989,2024-09-17
CUST_00990,2024-09-08
CUST_00991,2024-09-01
CUST_00992,2024-09-02
CUST_00993,2024-09-16
CUST_00994,2024-09-20
CUST_00995,2024-09-11
CUST_00996,2024-09-15
CUST_00997,2024-09-25
CUST_00998,2024-09-23
CUST_00999,2024-09-07
